,DistrictName,Depot Name,google Maps Location,,,,,,,,google Maps Location,Latitude,Longitude
47,Raichur,Devdurga,"Devadurga, Shantinagar, Raichur, SH-15, Shahapur Devadurga Road, Devadurg, Devadurg, Karnataka 584111, India",,,,,,,,"Devadurga, Shantinagar, Raichur, SH-15, Shahapur Devadurga Road, Devadurg, Devadurg, Karnataka 584111, India",16.4191062,76.9255487
48,Raichur,Raichur,"683X+27Q, Androon Quilla, Raichur, Karnataka 584101, India",,,,,,,,"683X+27Q, Androon Quilla, Raichur, Karnataka 584101, India",16.2025875,77.3482344
49,Raichur,Manvi,"X2XR+CW6, Manvi, Karnataka 584123, India",,,,,,,,"X2XR+CW6, Manvi, Karnataka 584123, India",15.9985375,77.0422656
50,Raichur,Sindhanur,"QQ94+Q6F, Taluk panchayat, Sindhanur, Karnataka 584128, India",,,,,,,,"QQ94+Q6F, Taluk panchayat, Sindhanur, Karnataka 584128, India",15.7694475,76.7555543
51,Raichur,Maski,"WMV4+7WC, Maski, Karnataka 584124, India",,,,,,,,"WMV4+7WC, Maski, Karnataka 584124, India",15.9431875,76.6572656
52,Raichur,Sirwar,"Post office, Sirwar, Karnataka 584129, India",,,,,,,,"Post office, Sirwar, Karnataka 584129, India",16.1749412,77.0269884
53,Koppal,Yelburga,"Yelburga, Koppal SH-129, Chikkahesarur Mundaragi Road, Koppal, Karnataka 583236, India",,,,,,,,"Yelburga, Koppal SH-129, Chikkahesarur Mundaragi Road, Koppal, Karnataka 583236, India",15.6365032,76.0236569
54,Koppal,Kushtagi,"Q53V+J25, SH 30, Kushtagi, Karnataka 583277, India",,,,,,,,"Q53V+J25, SH 30, Kushtagi, Karnataka 583277, India",15.7545483,76.1928246
55,Koppal,Gangavathi,"Pampa Nagar, Koppal, SH-130, Kanakagiri Gangavathi Munirabad Road, Gangavathi, Gangavathi, Karnataka 583227, India",,,,,,,,"Pampa Nagar, Koppal, SH-130, Kanakagiri Gangavathi Munirabad Road, Gangavathi, Gangavathi, Karnataka 583227, India",15.4390387,76.5266738
56,Koppal,Koppal,"Public Ground, Laksmi shiva talkies road, traffic police station road, near, Old Office Road, B.T.Patil Nagar, Koppal, Karnataka 583231, India",,,,,,,,"Public Ground, Laksmi shiva talkies road, traffic police station road, near, Old Office Road, B.T.Patil Nagar, Koppal, Karnataka 583231, India",15.3527159,76.1566359
57,Koppal,Karatagi,"JM35+VJP, Karatagi, Karnataka 583229, India",,,,,,,,"JM35+VJP, Karatagi, Karnataka 583229, India",15.6047125,76.6590781
58,Koppal,Kuknoor,"GX2Q+FVF, Dyampur, Karnataka 583232",,,,,,,,"GX2Q+FVF, Dyampur, Karnataka 583232",15.5011875,75.9896719
59,Koppal,Kanakagiri,"HCCC+74Q, Kanakagiri, Karnataka 583283, India",,,,,,,,"HCCC+74Q, Kanakagiri, Karnataka 583283, India",15.5707125,76.4203594
60,Gadag,Naragund,"P9GH+4HJ, Unnamed Road, Nargund, Karnataka 582207, India",,,,,,,,"P9GH+4HJ, Unnamed Road, Nargund, Karnataka 582207, India",15.73694,75.3531
61,Gadag,Gadag,"CJMP+336, Station Rd, Basaveshwara Nagar, Gadag-Betageri, Karnataka 582101, India",,,,,,,,"CJMP+336, Station Rd, Basaveshwara Nagar, Gadag-Betageri, Karnataka 582101, India",15.4318543,75.6334639
62,Gadag,Shirahatti,"6HPM+Q86, near:police station Shirahatti. dist:, Shirahatti, Karnataka, India",,,,,,,,"6HPM+Q86, near:police station Shirahatti. dist:, Shirahatti, Karnataka, India",15.2324,75.579
